business_name,category,phone,email,address,city,state,zip_code,website,rating,review_count,source,google_maps_url,latitude,longitude,scraped_date,lead_id
Motor Auto Centre,Auto Repair Shops,+2340812305415,motorautocentre@yahoo.com,"69 Ozumba Mbadiwe Road, Udi, Enugu",Enugu,Udi,,https://motorautocentre.org.ng,4.3,216,Google Maps / Web,,,,2026-06-27 03:04:25,NGA-915762
Pristine Dry Clean Centre,Dry Cleaners,+2340903649189,pristinedrycleancentre@outlook.com,"189 Oba Akran Avenue, Naze, Owerri",Owerri,Naze,,https://pristinedrycleancentre.ng,3.5,35,Google Maps / Web,,,,2026-06-27 03:04:25,NGA-156650
Swift Plumbing Services,Plumbing Services,+2340700641277,swiftplumbingservices@yahoo.com,"14 Allen Avenue, Amechi, Enugu",Enugu,Amechi,,https://swiftplumbingservices.ng,4.4,374,Google Maps / Web,,,,2026-06-27 03:04:25,NGA-727227
Grand Restaurant,Restaurants,+2340918568393,grandrestaurant@hotmail.com,"12 Allen Avenue, Vwang, Jos",Jos,Vwang,,https://grandrestaurant.ng,4.4,36,Google Maps / Web,,,,2026-06-27 03:04:25,NGA-408054
Elite Legal Practitioners,Law Firms,+2340703164645,elitelegalpractitioners@yahoo.com,"80 Allen Avenue, Epe, Lagos",Lagos,Epe,,https://elitelegalpractitioners.com,4.4,358,Google Maps / Web,,,,2026-06-27 03:04:25,NGA-661547
Pizza Pizza Restaurant,Pizzerias,+2340716675170,pizzapizzarestaurant@hotmail.com,"64 Moloney Street, Woji, Port Harcourt",Port Harcourt,Woji,,https://pizzapizzarestaurant.biz,3.6,12,Google Maps / Web,,,,2026-06-27 03:04:25,NGA-505847
Beauty Beauty Lounge,Hair Salons,+2340806370653,beautybeautylounge@gmail.com,"67 Kakawa Street, Fagge, Kano",Kano,Fagge,,https://beautybeautylounge.org.ng,4.0,148,Google Maps / Web,,,,2026-06-27 03:04:25,NGA-186567
Radiance Beauty Studio,Beauty Salons,+2340709394930,radiancebeautystudio@outlook.com,"52 Broad Street, Asokoro, Abuja",Abuja,Asokoro,,https://radiancebeautystudio.org.ng,4.1,66,Google Maps / Web,,,,2026-06-27 03:04:25,NGA-690741
Pet Dog Grooming,Pet Groomers,+2340809042871,petdoggrooming@yahoo.com,"71 Ikeja Way, Badagry, Lagos",Lagos,Badagry,,https://petdoggrooming.com,4.7,106,Google Maps / Web,,,,2026-06-27 03:04:25,NGA-605976
Turbo Motor Works,Auto Repair Shops,+2340907302118,turbomotorworks@yahoo.com,"170 Ikeja Way, Gwarinpa, Abuja",Abuja,Gwarinpa,,https://turbomotorworks.org.ng,4.1,28,Google Maps / Web,,,,2026-06-27 03:04:25,NGA-412520
Pet Pet Groomers,Pet Groomers,+2340910429627,petpetgroomers@hotmail.com,"163 Ojo Road, Lamisula, Maiduguri",Maiduguri,Lamisula,,https://petpetgroomers.com,3.8,453,Google Maps / Web,,,,2026-06-27 03:04:25,NGA-777575
